codigo mun	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab
2900108	120	54	65	120	0	152	87	65	152	0	163	76	87	163	0	141	65	76	141	0	174	98	76	174	0	152	87	65	152	0	174	120	54	174	0	152	87	65	152	0	120	43	76	120	0
2900207	99	50	50	99	0	79	30	50	79	0	89	40	50	89	0	104	30	74	104	0	114	35	79	114	0	114	35	79	114	0	79	10	69	79	0	139	59	79	139	0	139	45	94	139	0
2900306	108	64	45	89	19	114	45	70	108	6	102	25	76	95	6	102	51	51	95	6	108	57	51	102	6	102	45	57	95	6	95	32	64	89	6	121	57	64	114	6	146	70	76	134	13
2900355	63	29	35	63	0	69	23	46	69	0	81	29	52	81	0	92	52	40	92	0	98	58	40	98	0	86	46	40	86	0	853	807	46	853	0	98	46	52	98	0	98	40	58	92	6
2900405	114	51	63	114	0	126	69	57	126	0	109	51	57	109	0	131	51	80	131	0	143	63	80	143	0	131	57	74	131	0	217	149	69	217	0	120	34	86	120	0	131	46	86	131	0
2900504	116	54	62	116	0	134	62	71	134	0	143	62	80	134	9	125	45	80	125	0	116	45	71	116	0	125	45	80	116	9	80	18	62	80	0	169	62	107	169	0	169	54	116	169	0
2900603	190	127	63	190	0	106	42	63	106	0	148	21	127	148	0	127	21	106	127	0	190	63	127	190	0	190	85	106	190	0	614	508	106	614	0	169	21	148	169	0	190	42	148	190	0
2900702	175	128	47	126	49	188	121	68	145	44	201	129	72	157	44	231	154	78	177	54	224	144	80	172	51	217	140	77	155	63	158	70	88	90	68	283	180	103	180	103	317	187	130	224	93
2900801	128	77	51	128	0	107	51	56	107	0	111	51	60	111	0	141	77	64	141	0	150	90	60	150	0	175	107	68	175	0	103	26	77	103	0	184	103	81	184	0	175	90	86	175	0
2900900	33	0	33	33	0	67	17	50	67	0	100	50	50	100	0	100	33	67	100	0	100	33	67	100	0	117	50	67	117	0	451	368	84	451	0	251	134	117	251	0	167	84	84	167	0
2901007	154	102	52	136	18	141	84	58	128	13	191	125	65	175	16	214	146	68	193	21	186	105	81	162	24	188	105	84	162	26	131	52	78	102	29	178	91	86	152	26	193	91	102	165	29
2901106	87	53	34	87	0	80	38	42	80	0	91	38	53	87	4	102	42	61	98	4	106	45	61	102	4	110	61	49	106	4	61	23	38	57	4	110	57	53	106	4	140	72	68	136	4
2901155	101	54	48	101	0	95	42	54	95	0	107	54	54	107	0	107	48	60	107	0	131	60	71	131	0	125	60	65	125	0	101	36	65	101	0	161	71	89	161	0	208	89	119	208	0
2901205	118	61	56	118	0	77	26	51	77	0	112	51	61	112	0	123	61	61	123	0	189	87	102	189	0	215	123	92	215	0	148	51	97	148	0	225	112	112	225	0	194	82	112	194	0
2901304	131	73	58	131	0	109	51	58	109	0	131	51	80	131	0	109	29	80	109	0	116	51	66	116	0	116	58	58	116	0	167	102	66	167	0	131	80	51	131	0	146	80	66	146	0
2901353	65	19	45	65	0	65	26	39	65	0	84	32	52	84	0	84	26	58	84	0	103	39	65	103	0	90	39	52	84	6	77	26	52	71	6	103	39	65	97	6	110	45	65	90	19
