municipio.1	municipio.2	municipio.3	diabetes-tipo-dois-2004	diabetes-tipo-dois-2005	diabetes-tipo-dois-2006	diabetes-tipo-dois-2007	diabetes-tipo-dois-2008	diabetes-tipo-dois-2009	diabetes-tipo-dois-2010	diabetes-tipo-dois-2011	diabetes-tipo-dois-2012	diabetes-tipo-dois-2013	sifilis-congenita-2004	sifilis-congenita-2005	sifilis-congenita-2006	sifilis-congenita-2007	sifilis-congenita-2008	sifilis-congenita-2009	sifilis-congenita-2010	sifilis-congenita-2011	sifilis-congenita-2012	sifilis-congenita-2013	sifilis-gestante-2004	sifilis-gestante-2005	sifilis-gestante-2006	sifilis-gestante-2007	sifilis-gestante-2008	sifilis-gestante-2009	sifilis-gestante-2010	sifilis-gestante-2011	sifilis-gestante-2012	sifilis-gestante-2013
290010	2900108	Abaíra	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290020	2900207	Abaré	0	6	3	11	7	12	8	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
290030	2900306	Acajutiba	0	17	2	0	1	13	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
290035	2900355	Adustina	0	3	13	3	9	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
290040	2900405	Água Fria	0	0	0	0	3	12	6	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
290050	2900504	Érico Cardoso	0	0	3	4	1	0	4	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290060	2900603	Aiquara	0	0	9	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290070	2900702	Alagoinhas	4	20	107	23	13	15	13	25	10	0	13	1	0	0	0	3	5	8	3	4	0	0	0	0	4	0	8	15	8	4
290080	2900801	Alcobaca	0	6	13	2	5	4	3	5	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	1	2	8
290090	2900900	Almadina	0	5	6	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
290100	2901007	Amargosa	4	13	4	8	12	7	8	20	12	0	0	0	0	0	0	0	2	0	4	2	0	0	0	3	1	2	6	6	2	6
290110	2901106	Amelia Rodrigues	22	9	13	15	10	20	20	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1
290115	2901155	América Dourada	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
290120	2901205	Anagé	2	1	8	1	1	1	3	19	7	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
290130	2901304	Andaraí	0	0	3	5	3	3	4	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
290135	2901353	Andorinha	0	14	14	6	14	13	8	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1
290140	2901403	Angical	0	2	13	1	4	5	7	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
290150	2901502	Anguera	0	1	0	0	0	20	14	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290160	2901601	Antas	1	0	8	10	7	5	10	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1
290170	2901700	Antônio Cardoso	0	8	7	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
290180	2901809	Antônio Gonçalves	0	0	4	8	20	17	13	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
290190	2901908	Aporá	0	10	3	3	6	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3
