Posição	Município	PIB (em mil reais)	Codigo IBGE
370	Abaíra	64325	2900108
238	Abaré	124754	2900207
258	Acajutiba	115158	2900306
279	Adustina	101478	2900355
217	Água Fria	138677	2900405
400	Aiquara	49816	2900603
15	Alagoinhas	3177575	2900702
120	Alcobaça	260134	2900801
389	Almadina	55434	2900900
87	Amargosa	338286	2901007
113	Amélia Rodrigues	280400	2901106
244	América Dourada	120759	2901155
198	Anagé	160376	2901205
292	Andaraí	95028	2901304
186	Andorinha	172216	2901353
213	Angical	143722	2901403
373	Anguera	61805	2901502
262	Antas	112595	2901601
305	Antônio Cardoso	90898	2901700
371	Antônio Gonçalves	63539	2901809
248	Aporá	118226	2901908
359	Apuarema	67914	2901957
235	Araçás	125487	2902005
308	Aracatu	89349	2902054
76	Araci	391894	2902104
320	Aramari	84880	2902203
284	Arataca	97942	2902252
360	Aratuípe	67349	2902302
259	Aurelino Leal	114307	2902401
232	Baianópolis	128079	2902500
221	Baixa Grande	137300	2902609
325	Banzaê	82156	2902658
82	Barra	349674	2902708
128	Barra da Estiva	245374	2902807
58	Barra do Choça	501705	2902906
306	Barra do Mendes	90753	2903003
372	Barra do Rocha	61857	2903102
13	Barreiras	3358643	2903201
324	Barro Alto	82382	2903235
377	Barro Preto	60139	2903276
124	Barrocas	250869	2903300
110	Belmonte	284368	2903409
247	Belo Campo	118406	2903508
270	Biritinga	107488	2903607
296	Boa Nova	94193	2903706
254	Boa Vista do Tupim	116791	2903805
37	Bom Jesus da Lapa	824384	2903904
396	Bom Jesus da Serra	52293	2903953
311	Boninal	88829	2904001
202	Bonito	157859	2904050
220	Boquira	137385	2904100
318	Botuporã	85716	2904209
229	Brejões	129112	2904308
319	Brejolândia	85591	2904407
358	Brotas de Macaúbas	68481	2904506
26	Brumado	1370329	2904605
181	Buerarema	177335	2904704
251	Buritirama	117640	2904753
365	Caatiba	66278	2904803
225	Cabaceiras do Paraguaçu	131693	2904852
54	Cachoeira	523162	2904902
132	Caculé	240374	2905008
314	Caém	87366	2905107
340	Caetanos	77193	2905156
48	Caetité	637474	2905206
130	Cafarnaum	242501	2905305
65	Cairu	452557	2905404
276	Caldeirão Grande	102492	2905503
116	Camacan	269741	2905602
2	Camaçari	21935897	2905701
86	Camamu	338646	2905800
169	Campo Alegre de Lourdes	193097	2905909
46	Campo Formoso	726876	2906006
374	Canápolis	61321	2906105
184	Canarana	174080	2906204
102	Canavieiras	309233	2906303
392	Candeal	53856	2906402
11	Candeias	3444178	2906501
277	Candiba	102327	2906600
183	Cândido Sales	174507	2906709
125	Cansanção	249978	2906808
226	Canudos	131589	2906824
327	Capela do Alto Alegre	81460	2906857
81	Capim Grosso	353837	2906873
364	Caraíbas	66434	2906899
75	Caravelas	392261	2906907
345	Cardeal da Silva	74520	2907004
164	Carinhanha	194248	2907103
50	Casa Nova	584368	2907202
80	Castro Alves	362052	2907301
351	Catolândia	72469	2907400
56	Catu	516695	2907509
387	Caturama	56093	2907558
216	Central	142294	2907608
353	Chorrochó	71474	2907707
121	Cícero Dantas	256155	2907806
246	Cipó	119426	2907905
201	Coaraci	158871	2908002
142	Cocos	219406	2908101
122	Conceição da Feira	255524	2908200
204	Conceição do Almeida	154762	2908309
45	Conceição do Coité	729657	2908408
22	Conceição do Jacuípe	2023104	2908507
123	Conde	253865	2908606
234	Condeúba	126993	2908705
415	Contendas do Sincorá	34529	2908804
178	Coração de Maria	179339	2908903
394	Cordeiros	52834	2909000
241	Coribe	122929	2909109
223	Coronel João Sá	132814	2909208
29	Correntina	1123973	2909307
