Posição	Código IBGE	Município	População
1º	3550308	São Paulo	12106920
2º	3304557	Rio de Janeiro	6520266
3º	5300108	Brasília	3039444
4º	2927408	Salvador	2953986
5º	2304400	Fortaleza	2627482
6º	3106200	Belo Horizonte	2523794
7º	1302603	Manaus	2130264
8º	4106902	Curitiba	1908359
9º	2611606	Recife	1633697
10º	4314902	Porto Alegre	1484941
11º	5208707	Goiânia	1466105
12º	1501402	Belém	1452275
13º	3518800	Guarulhos	1349113
14º	3509502	Campinas	1182429
15º	2111300	São Luís	1091868
16º	3304904	São Gonçalo	1049826
17º	2704302	Maceió	1029129
18º	3301702	Duque de Caxias	890997
19º	2408102	Natal	885180
20º	5002704	Campo Grande	874210
21º	2211001	Teresina	850198
22º	3548708	São Bernardo do Campo	827437
23º	2507507	João Pessoa	811598
24º	3303500	Nova Iguaçu	798647
25º	3547809	Santo André	715231
26º	3549904	São José dos Campos	703219
27º	3534401	Osasco	697886
28º	2607901	Jaboatão dos Guararapes	695956
29º	3543402	Ribeirão Preto	682302
30º	3170206	Uberlândia	676613
31º	3552205	Sorocaba	659871
32º	3118601	Contagem	658580
33º	2800308	Aracaju	650106
34º	2910800	Feira de Santana	627477
35º	5103403	Cuiabá	590118
36º	4209102	Joinville	577077
37º	3136702	Juiz de Fora	563769
38º	4113700	Londrina	558439
39º	5201405	Aparecida de Goiânia	542090
40º	1100205	Porto Velho	519436
41º	1500800	Ananindeua	516057
42º	3205002	Serra	502618
43º	3303302	Niterói	499028
44º	3300456	Belford Roxo	495783
45º	3301009	Campos dos Goytacazes	490288
46º	3205200	Vila Velha	486388
47º	4205407	Florianópolis	485838
48º	4305108	Caxias do Sul	483377
49º	1600303	Macapá	474706
50º	3529401	Mauá	462005
51º	3305109	São João de Meriti	460461
52º	3549805	São José do Rio Preto	450657
53º	3548500	Santos	434742
54º	3530607	Mogi das Cruzes	433901
55º	3106705	Betim	427146
56º	3513801	Diadema	417869
57º	2504009	Campina Grande	410332
58º	3525904	Jundiaí	409497
59º	4115200	Maringá	406693
60º	3143302	Montes Claros	402027
61º	3538709	Piracicaba	397322
62º	3510609	Carapicuíba	396587
63º	2609600	Olinda	390771
64º	3201308	Cariacica	387368
65º	1200401	Rio Branco	383443
66º	5201108	Anápolis	375142
67º	3506003	Bauru	371690
68º	3205309	Vitória	363140
69º	2303709	Caucaia	362223
70º	3523107	Itaquaquecetuba	360657
71º	3551009	São Vicente	360380
72º	2604106	Caruaru	356128
73º	2933307	Vitória da Conquista	348718
74º	4202404	Blumenau	348513
75º	3516200	Franca	347237
76º	4314407	Pelotas	344385
77º	4119905	Ponta Grossa	344332
78º	4304606	Canoas	343853
79º	2611101	Petrolina	343219
80º	1400100	Boa Vista	332020
81º	3154606	Ribeirão das Neves	328871
82º	2610707	Paulista	328353
83º	3170107	Uberaba	328272
84º	4104808	Cascavel	319608
85º	3518701	Guarujá	315563
86º	3541000	Praia Grande	310024
87º	3554102	Taubaté‎	307953
88º	4125506	São José dos Pinhais	307530
89º	3526902	Limeira	300911
90º	3303906	Petrópolis	298235
91º	2905701	Camaçari	296893
92º	1506807	Santarém	296302
93º	2408003	Mossoró	295619
94º	3552502	Suzano	290769
95º	1721000	Palmas	286787
96º	3127701	Governador Valadares	280901
97º	3552809	Taboão da Serra	279634
98º	4316907	Santa Maria	278445
99º	4309209	Gravataí	275146
100º	5108402	Várzea Grande	274013
101º	3552403	Sumaré	273007
102º	1504208	Marabá	271594
103º	2307304	Juazeiro do Norte	270383
104º	3505708	Barueri	267534
105º	3515004	Embu das Artes	267054
106º	3306305	Volta Redonda	265201
107º	4108304	Foz do Iguaçu	264044
108º	3131307	Ipatinga	261203
109º	2403251	Parnamirim	254709
110º	2105302	Imperatriz	254569
111º	4323002	Viamão	253717
112º	4313409	Novo Hamburgo	249508
113º	3548906	São Carlos	246088
114º	3302403	Macaé	244139
115º	4216602	São José	239718
116º	3520509	Indaiatuba	239602
117º	3513009	Cotia	237750
118º	3302502	Magé	237420
119º	4105805	Colombo	237402
120º	3167202	Sete Lagoas	236228
121º	3529005	Marília	235234
122º	3122306	Divinópolis	234937
123º	2700300	Arapiraca	234185
124º	3501608	Americana	233868
125º	3301900	Itaboraí	232394
126º	4318705	São Leopoldo	230914
127º	3503208	Araraquara	230770
128º	3524402	Jacareí	229851
129º	3522505	Itapevi	229502
130º	3541406	Presidente Prudente	225271
131º	2307650	Maracanaú	224804
132º	5107602	Rondonópolis	222316
133º	3519071	Hortolândia	222186
134º	2918407	Juazeiro	221773
135º	2914802	Itabuna	221046
136º	3157807	Santa Luzia	218897
137º	5003702	Dourados	218069
138º	5218805	Rio Verde	217048
139º	3300704	Cabo Frio	216030
140º	4204202	Chapecó	213279
141º	4208203	Itajaí	212615
142º	3201209	Cachoeiro de Itapemirim	211649
143º	4204608	Criciúma	211369
144º	4315602	Rio Grande	209378
145º	4300604	Alvorada	208177
146º	2312908	Sobral	205529
147º	2602902	Cabo de Santo Agostinho	204653
148º	3543907	Rio Claro	202952
149º	1505536	Parauapebas	202356
150º	5212501	Luziânia	199615
151º	4314100	Passo Fundo	198799
152º	2919207	Lauro de Freitas	197636
153º	5200258	Águas Lindas de Goiás	195810
154º	1502400	Castanhal	195253
155º	3502804	Araçatuba	194874
156º	3300100	Angra dos Reis	194619
157º	3545803	Santa Bárbara d'Oeste	191889
158º	3515707	Ferraz de Vasconcelos	188868
159º	3303401	Nova Friburgo	185381
160º	2804805	Nossa Senhora do Socorro	181928
161º	4109401	Guarapuava	180364
162º	3300407	Barra Mansa	179451
163º	3129806	Ibirité	177475
164º	2111201	São José de Ribamar	176418
165º	2913606	Ilhéus	176341
166º	3305802	Teresópolis	176060
167º	1702109	Araguaína	175960
168º	3516309	Francisco Morato	171602
169º	3302858	Mesquita	171280
170º	3522208	Itapecerica da Serra	170927
171º	4208906	Jaraguá do Sul	170835
172º	3523909	Itu	170157
173º	3203205	Linhares	169048
174º	2112209	Timon	167619
175º	3151800	Poços de Caldas	166085
176º	4211900	Palhoça	164926
177º	3507605	Bragança Paulista	164163
178º	3538006	Pindamonhangaba	164000
179º	2103000	Caxias	162657
180º	2918001	Jequié	162209
181º	2931350	Teixeira de Freitas	161690
182º	3522307	Itapetininga	160070
183º	3548807	São Caetano do Sul	159608
184º	5221858	Valparaíso de Goiás	159500
185º	4209300	Lages	158508
186º	3303203	Nilópolis	158329
187º	2903201	Barreiras	157638
188º	2603454	Camaragibe	156361
189º	2900702	Alagoinhas	155979
190º	1500107	Abaetetuba	153380
191º	3302700	Maricá	153008
192º	4118204	Paranaguá	152975
193º	3148004	Patos de Minas	150893
194º	2207702	Parnaíba	150547
195º	3516408	Franco da Rocha	149502
196º	3530706	Mogi Guaçu	149396
197º	2925303	Porto Seguro	149324
198º	3152501	Pouso Alegre	147137
199º	3525300	Jaú	146338
200º	3304144	Queimados	145386
201º	3507506	Botucatu	142546
202º	3168606	Teófilo Otoni	141934
203º	3304524	Rio das Ostras	141117
204º	3504107	Atibaia	139683
205º	4320008	Sapucaia do Sul	139476
206º	2606002	Garanhuns	138642
207º	2616407	Vitória de Santo Antão	137578
208º	4101804	Araucária	137452
209º	2513703	Santa Rita	136851
210º	3105608	Barbacena	136689
211º	2930709	Simões Filho	136050
212º	3156700	Sabará	135968
213º	5107909	Sinop	135874
214º	4127700	Toledo	135538
215º	4202008	Balneário Camboriú	135268
216º	3170701	Varginha	134364
217º	1502103	Cametá	134100
218º	4101408	Apucarana	132691
219º	1100122	Ji-Paraná	132667
220º	3547304	Santana de Parnaíba	131887
221º	3503307	Araras	131282
222º	2304202	Crato	130604
223º	4322400	Uruguaiana	129784
224º	4119152	Pinhais	129445
225º	4202909	Brusque	128818
226º	3513504	Cubatão	128748
227º	3204906	São Mateus	128449
228º	1504422	Marituba	127858
229º	2306405	Itapipoca	127465
230º	4316808	Santa Cruz do Sul	127429
231º	3118304	Conselheiro Lafaiete	127369
232º	4303103	Cachoeirinha	127318
233º	4104204	Campo Largo	127309
234º	3304201	Resende	126923
235º	3300209	Araruama	126742
236º	2307700	Maranguape	126486
237º	1507300	São Félix do Xingu	124806
238º	3201506	Colatina	124525
239º	1501709	Bragança	124184
240º	3556206	Valinhos	124024
241º	3202405	Guarapari	123166
242º	3551702	Sertãozinho	122643
243º	2107506	Paço do Lumiar	122420
244º	3302007	Itaguaí	122369
245º	3171204	Vespasiano	122365
246º	4301602	Bagé	122209
247º	3543303	Ribeirão Pires	121848
248º	3525003	Jandira	121492
249º	5221403	Trindade	121266
250º	1501303	Barcarena	121190
251º	2103307	Codó	120810
252º	2924009	Paulo Afonso	120706
253º	3506508	Birigui	120692
254º	3511102	Catanduva	120691
255º	3505500	Barretos	120638
256º	3518404	Guaratinguetá	120417
257º	3557006	Votorantim	119898
258º	3131703	Itabira	119285
259º	3554003	Tatuí	118939
260º	3556503	Várzea Paulista	118917
261º	4101507	Arapongas	118477
262º	5008305	Três Lagoas	117477
263º	3103504	Araguari	117445
264º	3510500	Caraguatatuba	116786
265º	3523404	Itatiba	116503
266º	3545209	Salto	116191
267º	5208004	Formosa	115789
268º	3539806	Poá	115488
269º	1600600	Santana	115471
270º	2606804	Igarassu	115398
271º	4100400	Almirante Tamandaré	115364
272º	2910727	Eunápolis	115290
273º	4302105	Bento Gonçalves	115069
274º	3147907	Passos	114458
275º	1303403	Parintins	113832
276º	3169901	Ubá	113300
277º	2613701	São Lourenço da Mata	112099
278º	3534708	Ourinhos	111813
279º	1500602	Altamira	111435
280º	2100055	Açailândia	111339
281º	1508100	Tucuruí	110516
282º	3119401	Coronel Fabriciano	110326
283º	5215231	Novo Gama	110096
284º	1505502	Paragominas	110026
285º	4128104	Umuarama	109955
286º	5003207	Corumbá	109899
287º	3143906	Muriaé	108537
288º	2510808	Patos‎	107790
289º	4119509	Piraquara	107751
290º	1100023	Ariquemes	107345
291º	2612505	Santa Cruz do Capibaribe	105761
292º	5220454	Senador Canedo	105459
293º	4103701	Cambé	105347
294º	3134202	Ituiutaba	104526
295º	4218707	Tubarão	104457
296º	3104007	Araxá	104283
297º	2803500	Lagarto	104099
298º	4307005	Erechim	103437
299º	2101202	Bacabal	103359
300º	2928703	Santo Antônio de Jesus	103342
301º	1507953	Tailândia	103321
302º	3504008	Assis	102924
303º	2305506	Iguatu	102614
304º	5211503	Itumbiara	102513
305º	3536505	Paulínia	102499
306º	5205109	Catalão	102393
307º	3138203	Lavras	102124
308º	2412005	São Gonçalo do Amarante	101492
309º	3302270	Japeri	101237
310º	3526704	Leme	101184
311º	3302205	Itaperuna	99997
312º	3305208	São Pedro da Aldeia	99906
313º	1501808	Breves	99896
314º	1301902	Itacoatiara	99854
315º	2600054	Abreu e Lima	99364
316º	4309308	Guaíba	99334
317º	5107958	Tangará da Serra	98828
318º	2932903	Valença	98749
319º	3522109	Itanhaém	98629
320º	1503606	Itaituba	98523
321º	3200607	Aracruz	98393
322º	3509007	Caieiras	98223
323º	5211909	Jataí	98128
324º	3300308	Barra do Piraí	97460
325º	2501807	Bayeux	97010
326º	3132404	Itajubá	97000
327º	1302504	Manacapuru	96460
328º	1100304	Vilhena	95630
329º	3528502	Mairiporã	95601
330º	4107652	Fazenda Rio Grande	95225
331º	2802908	Itabaiana	95196
332º	2101400	Balsas	94779
333º	3145208	Nova Serrana	94681
334º	2607208	Ipojuca	94533
335º	4126256	Sarandi	94181
336º	4104303	Campo Mourão	94153
337º	3522406	Itapeva	93570
338º	3557105	Votuporanga	92768
339º	3147105	Pará de Minas	92739
340º	3133808	Itaúna	92696
341º	3508504	Caçapava	92587
342º	3147006	Paracatu	92386
343º	3530805	Mogi Mirim	92365
344º	3144805	Nova Lima	92178
345º	3113404	Caratinga	91841
346º	5102504	Cáceres	91271
347º	3162500	São João del-Rei	90263
348º	3549102	São João da Boa Vista	90089
349º	3148103	Patrocínio	89983
350º	2906501	Candeias	89707
351º	5006606	Ponta Porã	89592
352º	3504503	Avaré	89479
353º	2806701	São Cristóvão	89232
354º	3168705	Timóteo	88931
355º	5217609	Planaltina	88863
356º	3139409	Manhuaçu	88580
357º	1100049	Cacoal	88507
358º	3550605	São Roque	88473
359º	4108403	Francisco Beltrão	88465
360º	3555406	Ubatuba	88313
361º	2109908	Santa Inês	88013
362º	3527207	Lorena	87980
363º	4118402	Paranavaí	87850
364º	2101608	Barra do Corda	87135
365º	2911709	Guanambi	86808
366º	2311306	Quixadá	86605
367º	3503901	Arujá	86430
368º	2613909	Serra Talhada	85568
369º	3550704	São Sebastião	85538
370º	1709500	Gurupi	85523
371º	4303004	Cachoeira do Sul	85495
372º	5107925	Sorriso	85223
373º	3305505	Saquarema	85175
374º	5204508	Caldas Novas	84900
375º	1301209	Coari	84762
376º	3305554	Seropédica	84416
377º	4307708	Esteio	84237
378º	3170404	Unaí	83980
379º	2601102	Araripina	83757
380º	2917508	Jacobina	83635
381º	2919553	Luís Eduardo Magalhães	83557
382º	4310207	Ijuí	83330
383º	2606408	Gravatá	83241
384º	2930501	Serrinha	83088
385º	4215802	São Bento do Sul	82842
386º	2309706	Pacatuba	82824
387º	2604007	Carpina	82685
388º	1200203	Cruzeiro do Sul	82622
389º	3509601	Campo Limpo Paulista	82520
390º	1506138	Redenção	82464
391º	2108603	Pinheiro	82374
392º	4317103	Santana do Livramento	82312
393º	3529302	Matão	82307
394º	3513405	Cruzeiro	81724
395º	2930105	Senhor do Bonfim	81218
396º	4118501	Pato Branco	80710
397º	2910057	Dias d'Ávila	80657
398º	4319901	Sapiranga	80311
399º	2407104	Macaíba	80031
400º	3120904	Curvelo	79878
401º	1504703	Moju	79825
402º	4311403	Lajeado	79819
403º	3101607	Alfenas	79707
404º	3136207	João Monlevade	79590
405º	4105508	Cianorte	79571
406º	3306008	Três Rios	79402
407º	2606200	Goiana	79249
408º	2301000	Aquiraz	79128
409º	4317509	Santo Ângelo	79101
410º	3169307	Três Corações	78999
411º	2103208	Chapadinha	78965
412º	4203204	Camboriú	78731
413º	2311405	Quixeramobim	78658
414º	3171303	Viçosa	78381
415º	4300406	Alegrete	78003
416º	3506102	Bebedouro	77761
417º	3519709	Ibiúna	77566
418º	2916401	Itapetinga	77533
419º	2302800	Canindé	77514
420º	4203006	Caçador	77323
421º	4127106	Telêmaco Borba	77276
422º	4211306	Navegantes	77137
423º	3527108	Lins	77021
424º	2208007	Picos	76928
425º	3205101	Viana	76776
426º	3524303	Jaboticabal	76563
427º	2311801	Russas	76475
428º	2707701	Rio Largo	76019
429º	2601706	Belo Jardim	75986
430º	3539301	Pirassununga	75474
431º	3556701	Vinhedo	75129
432º	3115300	Cataguases	75025
433º	2313401	Tianguá	74719
434º	3146107	Ouro Preto	74659
435º	2914604	Irecê	74483
436º	2304103	Crateús	74426
437º	3306107	Valença	74237
438º	2706307	Palmeira dos Índios	74208
439º	3509205	Cajamar	73921
440º	2402600	Ceará-Mirim	73849
441º	3522604	Itapira	73844
442º	1505064	Novo Repartimento	73802
443º	4204301	Concórdia	73766
444º	2601201	Arcoverde	73667
445º	2301109	Aracati	73629
446º	2906006	Campo Formoso	73448
447º	2907202	Casa Nova	73382
448º	4317202	Santa Rosa	72753
449º	2102325	Buriticupu	71979
450º	5219753	Santo Antônio do Descoberto	71887
451º	3135100	Janaúba	71653
452º	2110005	Santa Luzia	71576
453º	4104907	Castro	71501
454º	3501905	Amparo	71193
455º	2303501	Cascavel	71079
456º	1505304	Oriximiná	71078
457º	2309607	Pacajus	70911
458º	1506708	Santana do Araguaia	70764
459º	2903904	Bom Jesus da Lapa	70618
460º	3164704	São Sebastião do Paraíso	70533
461º	4322608	Venâncio Aires	70481
462º	2904605	Brumado	69677
463º	2516201	Sousa	69554
464º	4307906	Farroupilha	69542
465º	2802106	Estância	69278
466º	2104800	Grajaú	69232
467º	4214805	Rio do Sul	69188
468º	3512803	Cosmópolis	69086
469º	3124104	Esmeraldas	69010
470º	3530508	Mococa	68994
471º	1506500	Santa Izabel do Pará	68836
472º	2609907	Ouricuri	68776
473º	3515509	Fernandópolis	68670
474º	3135209	Januária	68584
475º	3126109	Formiga	68423
476º	2908408	Conceição do Coité	68303
477º	2605202	Escada	68281
478º	3515103	Embu-Guaçu	68270
479º	2402006	Caicó	68222
480º	2503209	Cabedelo	68033
481º	2105401	Itapecuru-Mirim	67726
482º	5208608	Goianésia	67507
483º	2305407	Icó	67486
484º	4205902	Gaspar	67392
485º	2915601	Itamaraju	67356
486º	3526803	Lençóis Paulista	67185
487º	1502202	Capanema	67150
488º	4201406	Araranguá	67110
489º	2610905	Pesqueira	66881
490º	2914703	Itaberaba	66806
491º	5205497	Cidade Ocidental	66777
492º	3537602	Peruíbe	66572
493º	4202305	Biguaçu	66558
494º	4207502	Indaial	66497
495º	2709301	União dos Palmares	66477
496º	4303509	Camaquã	66215
497º	2305233	Horizonte	65928
498º	3555000	Tupã	65758
499º	4322509	Vacaria	65397
500º	2909802	Cruz das Almas	64932
501º	4303905	Campo Bom	64914
502º	4122404	Rolândia	64726
503º	2706703	Penedo	64497
504º	2103604	Coroatá	64403
505º	2614501	Surubim	64373
506º	1501782	Breu Branco	64194
507º	4312401	Montenegro	63868
