IBGE	2017	2016	2015	2014	2013
2900108	67	57	47	59	31
2900207	67	72	78	49	49
2900306	82	72	94	66	67
2900355	52	62	54	43	66
2900405	90	52	60	82	55
2900603	14	15	15	14	15
2900702	1230	1252	1174	1117	1194
2900801	103	104	78	92	98
2900900	33	20	31	34	33
2901007	251	243	210	209	203
2901106	109	78	118	103	94
2901155	59	55	58	50	47
2901205	90	94	111	113	122
2901304	61	58	70	47	60
2901353	55	59	54	40	45
2901403	56	43	54	48	41
2901502	78	49	41	52	59
2901601	102	121	89	87	87
2901700	28	26	33	28	38
2901809	35	35	34	31	31
2901908	78	66	73	69	54
2901957	19	23	23	20	23
2902005	56	49	50	48	34
2902054	82	76	70	58	61
2902104	233	229	242	218	213
2902203	28	24	22	16	12
2902252	37	46	39	36	42
2902302	12	17	20	18	21
2902401	75	74	68	65	63
2902500	33	25	17	35	19
2902609	141	119	112	99	94
2902658	17	9	2	17	34
2902708	293	278	259	266	263
2902807	165	193	170	174	146
2902906	170	188	154	145	168
2903003	78	73	66	59	56
2903102	27	16	21	23	8
2903201	1305	1441	1353	1299	1304
2903235	66	58	56	41	54
2903276	30	37	37	29	30
2903300	46	51	56	39	39
2903409	146	110	134	122	108
2903508	129	90	104	106	95
2903607	88	70	89	66	73
2903706	68	64	70	71	62
2903805	86	76	77	66	58
2903904	388	373	351	308	305
2903953	67	70	50	52	36
2904001	90	68	80	66	66
2904050	58	53	46	62	47
2904100	132	97	105	116	105
2904209	45	37	50	48	50
2904308	93	80	72	81	60
2904407	8	36	27	28	24
2904506	73	89	79	70	74
2904605	462	383	390	340	335
2904704	75	66	54	53	44
2904753	62	59	59	45	44
2904803	36	35	28	23	21
2904852	65	53	56	51	54
2904902	195	185	200	165	168
2905008	116	90	112	107	82
2905107	53	50	59	52	38
2905156	37	26	31	35	45
2905206	249	261	254	270	248
2905305	57	75	74	70	75
2905404	28	28	28	30	18
2905503	74	63	54	50	51
2905602	174	253	163	173	182
2905701	1306	1215	1188	1238	1096
2905800	154	103	108	97	101
2905909	92	86	85	87	97
2906006	344	330	327	281	274
2906105	28	11	6	15	6
2906204	109	90	97	75	65
2906303	164	196	157	188	156
2906402	50	24	43	37	41
2906501	531	512	529	454	465
2906600	71	51	33	46	61
2906709	163	142	134	141	152
2906808	225	226	178	163	167
2906824	84	70	69	48	67
2906857	69	51	46	39	35
2906873	238	245	196	177	126
2906899	38	39	26	30	34
2906907	110	77	79	65	76
2907004	34	27	21	33	22
2907103	109	104	108	101	68
2907202	274	258	282	224	213
2907301	169	136	168	134	153
2907400	4	4	4	5	4
2907509	256	271	270	249	214
2907558	27	22	14	19	25
2907608	77	71	57	70	56
2907707	54	34	47	42	45
2907806	175	190	158	179	190
2907905	71	69	75	82	96
2908002	138	153	152	142	106
2908101	77	39	44	31	56
2908200	76	86	65	61	70
2908309	93	95	71	81	92
2908408	323	358	319	302	307
2908507	157	182	173	154	110
2908606	88	71	76	92	100
2908705	108	91	101	96	101
2908804	24	26	16	25	15
2908903	94	69	74	76	96
2909000	44	41	39	33	32
2909109	61	64	58	73	56
2909208	57	56	58	47	47
2909307	167	149	108	140	102
2909406	62	32	49	33	32
2909505	34	26	24	27	17
2909604	114	105	91	92	91
2909703	61	44	38	27	29
2909802	327	338	325	338	336
2909901	131	130	93	131	111
2910008	32	37	33	27	32
2910057	299	249	246	271	233
2910107	54	54	53	71	48
2910206	14	8	10	13	12
2910305	41	48	60	46	53
2910404	103	112	90	94	103
2910503	231	227	194	187	196
2900504	35	33	36	25	33
2910602	201	188	172	158	163
2910701	372	341	341	324	308
2910727	852	802	651	630	628
2910750	82	83	70	79	78
2910776	11	7	13	11	13
2910800	4679	4537	4623	4340	4182
2910859	85	94	77	80	98
2910909	18	22	14	9	10
2911006	38	60	42	45	41
2911105	100	79	61	62	68
2911204	157	188	175	151	137
2911253	26	13	11	17	20
2911303	52	46	36	46	40
2911402	45	53	36	40	27
2911501	35	33	26	18	16
2911600	84	64	85	93	79
2911659	40	40	35	30	20
2911709	867	804	790	674	684
2911808	81	58	59	59	64
2911857	53	48	53	34	47
2911907	167	143	167	147	115
2912004	64	61	74	66	81
2912103	116	152	166	151	140
2912202	31	28	28	26	35
2912301	81	68	88	75	53
2912400	55	74	84	57	52
2912509	67	72	79	69	55
2912608	13	14	10	12	17
2912707	127	110	90	94	77
2912806	35	39	51	35	36
2912905	130	149	117	88	111
2913002	106	110	97	110	104
2913101	78	79	77	80	89
2913200	200	185	209	159	218
2913309	19	23	33	24	27
2913408	83	75	60	63	59
2913457	38	42	24	31	18
2913507	144	122	127	119	131
2913606	1505	1661	1471	1479	1476
2913705	181	161	185	195	183
2913804	74	51	59	48	57
2913903	427	382	403	364	326
2914000	345	304	403	325	325
2914109	75	56	72	64	59
2914208	41	32	50	39	43
2914307	32	50	29	34	34
2914406	174	157	137	128	125
2914505	160	165	154	134	133
2914604	1015	990	992	1002	868
2914653	171	177	157	178	160
2914703	458	408	405	370	428
2914802	2781	3080	2702	2742	2627
2914901	82	71	67	70	51
2915007	57	57	44	54	43
2915106	87	74	78	72	79
2915205	41	34	44	43	70
2915304	45	43	31	43	40
2915353	41	58	43	32	32
2915403	26	24	23	19	34
2915502	80	115	85	64	79
2915601	433	380	380	347	364
2915700	37	36	42	26	38
2915809	153	151	130	134	110
2915908	16	15	12	14	23
2916005	128	128	110	82	102
2916104	184	200	179	192	192
2916203	34	48	37	42	32
2916302	61	74	51	42	50
2916401	596	605	519	495	401
2916500	113	108	118	104	106
2916609	42	49	49	26	36
2916708	53	44	57	41	35
2916807	82	55	77	60	52
2916856	72	66	106	72	66
2916906	83	91	90	79	65
2917003	160	164	189	161	138
2917102	101	104	112	149	127
2917201	95	86	66	71	96
2917300	121	106	117	97	117
2917334	34	30	32	24	40
2917359	46	47	39	30	32
2917409	65	70	81	70	78
2917508	640	581	600	738	613
2917607	316	287	254	272	240
2917706	195	164	166	140	135
2917805	52	42	51	40	40
2917904	31	32	34	21	32
2918001	1455	1401	1405	1338	1374
2918100	172	193	176	144	159
2918209	71	60	69	58	59
2918308	69	63	84	78	47
2918357	103	85	79	84	36
2918407	1656	1670	1674	1724	1817
2918456	39	31	26	28	28
2918506	79	58	57	58	38
2918555	32	20	21	15	22
2918605	64	42	66	51	61
2918704	16	19	14	10	13
2918753	32	39	30	40	21
2918803	113	92	119	108	74
2918902	15	19	12	1	9
2919009	12	12	9	14	22
2919058	38	45	46	39	32
2919108	28	13	28	25	23
2919157	107	100	118	78	97
2919207	1057	1096	1116	1183	1007
2919306	51	29	50	31	40
2919405	54	57	57	48	37
2919504	230	214	206	182	165
2919553	170	190	181	132	140
2919603	69	82	64	64	63
2919702	94	74	71	100	106
2919801	212	199	207	218	211
2919900	28	35	31	31	24
2919926	90	91	102	80	75
2919959	36	31	28	32	31
2920007	41	31	29	29	41
2920106	110	144	135	98	126
2920205	58	56	45	46	21
2920304	41	20	16	18	23
2920403	39	43	58	25	29
2920452	22	8	17	6	4
2920502	157	145	136	146	129
2920601	186	165	150	165	139
2920700	44	40	30	34	27
2920809	40	36	39	39	37
2920908	59	62	54	47	32
2921005	221	223	211	238	195
2921054	45	29	32	29	27
2921104	187	185	133	142	149
2921203	163	173	177	160	188
2921302	58	65	69	49	63
2921401	54	33	57	49	58
2921450	24	24	21	18	25
2921500	279	245	278	263	268
2921609	41	50	35	34	15
2921708	209	164	160	173	178
2921807	71	59	81	67	56
