Município	IBGE	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor
290010 Abaíra	2900108	8	19	9	11	6	8	2	2	6	5	6	4	10	3	7	14	6	3	7	3
290020 Abaré	2900207	8	17	12	2	13	7	19	3	16	7	19	3	11	3	13	3	6	6	16	1
290030 Acajutiba	2900306	4	20	22	27	16	7	16	32	12	5	15	34	14	7	15	12	10	13	17	15
290035 Adustina	2900355	9	11	4	21	4	3	10	43	8	4	9	29	7	4	12	10	11	9	14	6
290040 Água Fria	2900405	2	10	12	38	2	4	11	22	0	0	6	35	9	4	9	51	2	6	7	25
290060 Aiquara	2900603	2	3	2	8	3	3	4	10	4	1	3	9	3	2	2	12	4	2	1	8
290070 Alagoinhas	2900702	113	321	208	88	138	121	171	83	110	93	161	82	117	111	158	57	151	120	174	87
290080 Alcobaça	2900801	18	23	24	11	27	9	24	12	12	4	29	20	13	5	28	20	12	9	31	20
290090 Almadina	2900900	4	13	6	0	3	4	5	0	7	7	7	1	9	4	3	3	8	9	7	4
290100 Amargosa	2901007	22	50	22	81	35	41	27	33	46	31	18	25	34	30	25	8	36	17	23	18
290110 Amélia Rodrigues	2901106	9	33	20	10	19	10	20	19	32	13	28	22	20	14	29	14	19	10	12	17
290115 América Dourada	2901155	9	16	10	5	18	11	8	2	10	7	12	8	20	8	5	3	15	6	11	6
290120 Anagé	2901205	3	15	13	48	20	6	10	30	12	8	15	34	11	8	13	59	13	7	16	53
290130 Andaraí	2901304	8	19	15	0	12	4	6	15	10	9	7	18	11	3	5	15	8	5	10	16
290135 Andorinha	2901353	0	9	5	49	3	4	12	50	5	3	8	55	9	4	7	34	9	7	1	24
290140 Angical	2901403	7	25	14	11	4	0	12	35	10	5	15	8	4	6	19	8	14	6	6	14
290150 Anguera	2901502	5	23	13	15	9	3	4	12	7	4	4	6	9	5	9	7	7	5	1	5
290160 Antas	2901601	2	9	11	27	15	7	7	21	6	11	10	8	13	6	15	13	11	10	8	9
290170 Antônio Cardoso	2901700	1	2	4	11	7	0	7	18	8	7	10	11	7	6	6	10	4	4	6	14
290180 Antônio Gonçalves	2901809	1	30	3	36	5	1	6	35	3	5	2	29	4	1	4	28	5	0	4	35
290190 Aporá	2901908	5	5	16	11	12	14	15	10	11	9	15	16	9	7	12	19	11	8	17	16
290195 Apuarema	2901957	3	18	2	9	4	5	3	10	6	5	5	6	5	7	4	5	6	5	5	4
290205 Araças	2902005	2	20	14	11	6	5	13	10	10	4	5	9	7	11	7	6	8	2	6	12
