COD MUN	PIB - 2012	PIB - 2013	PIB - 2014	PIB - 2015	PIB - 2016	ESCOLAS - 2012	ESCOLAS - 2013	ESCOLAS - 2014	ESCOLAS - 2015	ESCOLAS - 2016	POPULACAO - 2012	POPULACAO - 2013	POPULACAO - 2014	POPULACAO - 2015	POPULACAO - 2016
2900108	42148	42485	55320	54905	64325	17	22	22	15	22	8659	9132	9243	9226	9212
2900207	73066	89738	107311	120085	124754	65	66	66	66	67	17685	18989	19290	19574	19939
2900306	97105	109425	114174	116674	115158	29	31	32	33	33	14730	15615	15668	15717	15764
2900355	70095	132827	98679	159878	101478	40	40	40	40	40	15914	16929	17044	17153	17254
2900405	69641	80214	91617	106758	138677	27	48	48	29	48	15884	16871	16959	17043	17431
2900504	41978	42449	48490	51682	56854	53	55	55	55	56	10746	11509	11472	11437	11405
2900603	37433	40642	47559	52075	49816	23	24	24	24	24	4536	4767	4790	4767	4745
2900702	2363471	2659131	2757406	2737826	3177575	181	203	212	211	210	143460	152570	153560	154495	155362
2900801	193453	198823	209489	234477	260134	39	66	67	66	69	21328	23176	23231	23282	23331
2900900	38568	41406	69222	57993	55434	25	25	25	19	25	6130	6327	6234	6145	6062
2901007	231597	268100	294237	315353	338286	59	59	67	60	60	34845	37081	37557	37807	38041
2901106	197678	230017	263577	264417	280400	39	41	42	41	43	25080	26477	26458	26441	26424
2901155	67637	76842	88549	103621	120759	50	62	62	62	62	15962	16884	16904	16923	16781
2901205	98704	114373	134595	156646	160376	128	129	131	131	131	19889	20698	20388	20096	19824
2901304	65418	70782	75967	88004	95028	62	63	64	64	64	13942	14738	13716	13723	13732
2901353	131894	120273	144598	135203	172216	71	71	71	69	71	14209	14936	14862	14791	15551
2901403	83925	98184	117161	126212	143722	78	47	56	40	78	13992	14762	14742	14724	14707
2901502	42495	50754	53044	60986	61805	31	32	34	36	37	10427	11113	11209	11299	11402
2901601	67615	83918	93681	99135	112595	40	40	40	40	40	17526	18744	18970	19183	19382
2901700	79406	99034	95743	98897	90898	31	32	39	39	39	11545	12206	12216	12225	12200
2901809	43679	48600	56408	63629	63539	43	33	44	29	44	11229	11973	12083	12187	11989
2901908	79165	90093	100548	111337	118226	52	53	55	55	52	17877	18976	19063	19146	19223
2901957	45257	50831	53135	57125	67914	31	31	31	31	31	7397	7795	7780	7762	7745
2902005	61997	77990	81211	85659	89349	69	74	74	43	74	13542	14232	14158	14089	14023
2902054	374120	434960	358059	262311	125487	27	40	41	40	40	11642	12351	12402	12450	12495
2902104	257451	297508	339819	366516	391894	130	150	151	133	152	52325	55655	56023	56370	55637
2902203	54151	63629	69639	74097	84880	28	30	30	31	31	10483	11157	11237	11314	11385
2902252	72263	73988	91722	99125	97942	48	55	55	55	56	10307	11822	11779	11737	11697
2902302	42955	53529	59194	63534	67349	33	38	40	40	40	8632	9146	9104	9127	9150
2902401	76331	84472	96063	106729	114307	35	37	37	32	37	13059	13525	13301	13089	12891
2902500	89822	89874	120434	116942	128079	43	65	42	41	66	13420	13892	14126	14195	14262
2902609	100423	113554	121193	132445	137300	57	82	82	82	85	20031	21174	21186	21197	21393
2902658	51748	59951	68903	75898	82156	29	49	50	44	51	11840	12534	12560	13711	13738
2902708	233472	272376	296407	331766	349674	104	128	130	132	135	50134	53361	53786	54188	54563
2902807	121695	180919	207078	225676	245374	67	76	78	66	78	20767	22409	22566	22394	22232
2902906	258877	286329	351122	441795	501705	54	68	69	71	71	35501	35567	35200	34853	34421
2903003	64115	71045	78462	85833	90753	61	61	61	61	61	13914	14684	14540	14526	14570
2903102	43490	46147	141515	64775	61857	31	31	31	31	31	6038	6261	6518	6424	6338
2903201	2816370	2888677	3337723	3718351	3358643	132	146	143	148	212	141081	150896	152208	153918	155519
2903235	55293	63446	71551	79352	82382	41	42	42	41	42	13914	14855	15230	15377	15093
2903276	248166	175420	168872	192758	250869	42	42	41	44	44	14495	15470	15624	15770	16167
2903300	46831	49164	50973	54914	60139	21	21	21	20	21	6122	6767	6627	6492	6367
2903409	208451	226424	229954	280303	284368	60	60	61	63	64	22067	23471	23620	23759	23891
2903508	74918	87128	95836	104978	118406	44	53	53	44	54	17625	18539	18459	18383	18312
2903607	72883	81851	89057	100477	107488	48	50	50	50	50	14866	15737	15769	15799	16628
2903706	70990	79050	85788	93731	94193	40	52	52	52	52	14620	15141	14861	14577	14314
2903805	100045	110585	104277	110955	116791	61	81	81	65	80	17898	18888	18677	18658	19516
2903904	486537	550848	634594	773330	824384	117	124	129	123	123	64740	68282	68922	69526	70090
2903953	39895	41176	44171	50877	52293	15	15	15	15	19	10120	10644	10597	10554	10515
2904001	61392	65625	75172	79697	88829	24	46	46	46	47	13893	14742	14490	14585	14675
2904050	94825	102563	113147	154962	157859	33	38	38	38	41	15126	16132	16730	16873	17006
2904100	90109	107278	116886	128250	137385	105	78	113	113	113	22025	22389	22409	22429	22448
2904209	56293	62670	72032	78349	85716	56	55	57	57	57	10950	11162	11089	11021	10957
2904308	110716	119766	125837	130821	129112	38	39	39	39	39	14123	14866	15265	15214	15166
2904407	57987	62928	71332	80762	85591	22	20	21	19	24	11247	10545	10624	10698	10768
2904506	54895	58568	60745	65378	68481	75	75	75	76	76	10479	11301	11158	11070	11049
2904605	951099	1024095	1103185	1147683	1370329	116	122	123	121	124	64972	68776	69022	69255	69473
2904704	206324	224255	234293	217212	177335	51	51	51	35	51	18528	19311	19297	19283	19269
2904753	83401	91044	101171	112619	117640	72	75	75	75	75	19853	21115	21418	21549	21671
2904803	56221	54056	60191	64977	66278	22	48	48	49	49	10576	10828	10486	10166	10044
2904852	90021	104664	113449	111660	131693	36	36	38	38	38	17582	18713	18850	18978	19199
2904902	323948	387812	429673	450446	523162	62	69	72	67	73	32270	34244	34394	34535	35013
2905008	198009	184301	298323	226874	240374	27	33	34	34	34	22577	23232	23392	23545	23685
2905107	52912	60328	66776	80740	87366	41	39	41	41	40	10013	10429	10282	10143	10179
2905156	48946	62517	64918	73204	77193	57	65	65	59	65	14926	15842	15913	15982	16045
2905206	359166	442025	639480	724323	637474	172	173	175	175	174	47774	52166	52353	52531	52696
2905305	77086	96137	115744	138400	242501	35	36	36	36	36	17398	18489	18595	18695	18917
2905404	2732748	2723878	1781174	1200964	452557	36	37	37	37	37	15973	17168	17457	17730	17985
2905503	57671	70506	80951	86426	102492	40	49	49	48	47	12658	13465	13555	13641	13643
2905602	221339	247875	252936	266589	269741	68	69	70	60	69	31535	33068	33135	33197	33257
2905701	11534286	14458290	17601655	20390421	21935897	210	214	236	226	232	255238	275575	281413	286919	292074
2905800	255298	277483	296278	348686	338646	98	106	106	106	106	35366	37207	36321	36435	36543
2905909	132054	139953	156005	182240	193097	147	154	141	140	169	28156	29812	29877	29938	29994
2906006	417449	483018	583367	611961	726876	201	202	204	205	208	67305	71507	71900	72271	73118
2906105	45486	50739	56208	60256	61321	32	35	38	38	38	9395	10130	10137	10142	10146
2906204	111334	127208	143787	165354	174080	53	53	53	53	53	24430	26006	26200	26382	26702
2906303	194938	229268	267174	298980	309233	89	90	90	94	94	31902	33570	33415	33268	33130
2906402	36595	44016	47909	51976	53856	44	45	45	46	46	8720	9143	9075	9011	8894
2906501	2651895	2641424	3086409	3388543	3444178	85	80	80	80	89	84121	89419	88308	88806	89271
2906600	61916	75541	82693	94215	102327	14	22	22	22	23	13329	14527	14599	14667	14732
2906709	117968	145168	155099	170019	174507	70	71	69	60	70	25711	27057	26952	26855	26760
2906808	159937	179908	198072	244199	249978	95	95	95	93	96	33054	35029	35135	35235	36105
2906824	76321	94628	105845	109173	131589	49	50	50	50	50	15941	16956	17070	17177	17222
2906857	55849	64618	80326	81782	81460	20	34	34	34	34	11485	12128	12123	12118	12203
2906873	202530	253545	290884	343668	353837	49	52	63	47	66	27067	28853	29107	29346	31181
2906899	43446	50468	55864	59925	66434	9	18	18	16	18	9879	10292	10150	10016	9890
2906907	283502	277084	285985	344764	392261	34	44	43	43	44	21612	22328	22442	22548	22646
2907004	125628	108301	96108	85919	74520	12	13	13	14	14	9030	9611	9681	9747	9809
2907103	127244	138544	156391	179003	194248	40	77	78	80	80	28519	29768	29864	29955	30041
2907202	380450	409435	545233	541116	584368	231	272	269	273	294	66331	70796	71504	72172	72798
2907301	199978	233432	278307	331795	362052	69	86	86	85	86	25555	27097	27194	27286	27161
2907400	42809	50785	56623	63932	72469	12	14	14	14	14	3215	3420	3644	3672	3695
2907509	671262	749214	651358	623154	516695	87	90	92	92	92	51734	55021	55380	55719	56037
2907558	37029	40921	45134	51352	56093	40	48	48	48	48	8817	9760	9762	9762	9764
2907608	77819	94524	111234	133511	142294	60	63	63	63	63	17057	18061	18101	18140	17935
2907707	47866	55885	62519	68927	71474	58	58	57	58	58	10794	11444	11484	11522	11558
2907806	162513	202707	216195	248504	256155	48	50	56	52	55	32470	34424	34540	34478	34581
2907905	78000	88400	98118	117767	119426	45	50	48	47	48	15884	16860	16938	17602	17673
2908002	109508	126114	137973	154314	158871	51	52	52	51	51	19937	20620	20183	19770	19383
2908101	205548	193461	229703	231611	219406	51	80	83	83	83	18235	19281	19340	19396	19449
2908200	126421	161098	194277	248132	255524	45	53	54	49	54	20826	22226	22448	22656	22840
2908309	100055	115089	121617	139159	154762	34	50	51	51	51	17705	18644	18583	18525	18278
2908408	462612	522783	585923	677617	729657	179	153	180	178	181	63033	67126	67651	68146	67875
2908507	1025326	1472186	1637133	1695547	2023104	45	44	47	44	45	30717	32761	33066	33354	33624
2908606	137777	156973	178688	198558	253865	68	73	75	66	76	24103	25714	25961	26194	26412
2908705	86275	97910	107017	121331	126993	74	74	73	66	72	17421	18359	18312	18269	18229
2908804	24037	27223	30873	34369	34529	19	19	19	19	19	4613	4354	4340	4326	4312
2908903	120308	145168	161047	168055	179339	49	55	68	68	68	22149	23314	23228	23146	23961
2909000	36203	40152	45897	50593	52834	42	42	44	44	44	8245	8752	8795	8834	8870
2909109	87272	88056	103752	111094	122929	27	60	60	58	60	14210	15024	15000	14976	14954
2909208	76107	93812	114874	124629	132814	73	74	74	67	77	16650	17422	17256	17098	16951
2909307	848517	1134738	1235037	1297030	1123973	74	88	87	88	88	31397	32980	33084	33183	33275
2909406	83842	96722	105499	121527	124783	68	69	69	69	69	13614	14390	14396	14403	14409
2909505	28077	31442	34378	38495	41055	22	22	22	17	22	5048	5341	5552	5560	5568
2909604	111599	121444	132086	138177	143554	50	50	50	50	50	20199	21435	21529	21617	21700
2909703	61874	80463	88912	113579	131286	42	42	42	42	44	13374	14189	14247	14302	14354
2909802	653099	776423	809365	861525	961686	76	73	78	75	80	59470	63299	63761	64197	64552
2909901	213263	225587	270295	258036	269056	82	82	82	81	82	32631	34725	34974	35208	35320
2910008	47702	53640	57566	94881	92041	33	33	33	33	33	12217	12721	12190	12022	11864
2910057	2501015	2757751	3128588	3331141	3346132	53	58	67	68	71	69628	75103	76624	78058	79401
2910107	83314	93283	106696	112812	123445	36	50	50	50	50	11454	12379	12441	12499	12553
2910206	21368	25121	26698	29377	31596	15	16	16	16	16	3894	4127	4140	4153	4201
2910305	37909	44095	50495	54645	58940	39	28	39	39	39	7961	8426	8420	8434	8448
2910404	140953	156193	174269	195658	181804	87	90	92	91	91	22478	21418	20859	20331	19837
2910503	642297	669512	568544	520663	467036	97	99	97	83	88	40180	42640	42828	43006	43172
2910602	871860	920644	707683	561380	489787	84	85	86	87	87	33618	35930	36339	36724	37085
2910701	333069	472377	497806	635593	616993	195	205	207	207	208	56962	60558	60932	60066	61618
2910727	1701478	2004419	2075774	2276986	2535370	91	98	99	88	102	102628	110803	112032	113191	114275
2910750	108509	178960	153097	226947	222596	13	13	14	14	14	17555	18524	18502	18481	18461
2910776	39195	41824	49315	47034	48397	23	30	31	12	31	6177	5908	5911	5914	5918
2910800	9148602	10949907	11727165	11962297	13107354	439	466	476	478	524	568099	606139	612000	617528	622639
2910859	74977	87939	103072	114339	117328	35	35	35	35	34	16672	17603	17593	17583	17184
2910909	29311	34880	38312	43560	44483	8	8	12	8	12	5417	5744	5766	5786	5804
2911006	58069	70075	72625	80458	78633	41	41	41	41	41	10657	11392	11352	11313	11279
2911105	1503204	1175872	1366233	1605408	985453	88	91	92	93	93	23169	24799	25074	25372	25652
2911204	220579	249876	273424	308095	318970	60	70	71	71	71	30816	32814	33097	32809	33030
2911253	24736	28329	31819	38270	37750	23	23	42	43	43	4510	4747	4729	4712	4740
2911303	42191	46966	52990	57569	197590	62	62	62	63	63	10690	11338	11381	11423	11603
2911402	100574	115123	131834	146864	167411	61	61	61	61	62	15114	16003	16039	16072	15810
2911501	46600	49340	56787	65949	64370	18	23	23	23	23	8031	8325	8212	8082	7961
2911600	129648	149508	161344	229347	273117	42	43	42	42	44	19926	21125	21198	21267	21435
2911659	41581	46407	48597	53344	55176	12	12	12	12	12	9182	9388	9087	8805	8322
2911709	727225	861467	1041760	1141389	1198658	60	66	68	61	64	79936	84645	85237	85797	86320
2911808	154421	173184	197268	225536	219726	63	105	105	89	105	21840	22583	22465	22355	22251
2911857	58856	79783	78668	97310	88493	15	53	44	54	56	13099	13812	13786	13762	13739
2911907	148758	149740	202247	225272	197016	91	92	92	92	92	25319	26591	26382	26178	26012
2912004	53911	63840	69233	75189	81015	44	44	44	44	44	9607	10866	10679	10502	10337
2912103	132653	146660	155807	172565	173802	45	47	48	48	47	23560	24595	24303	24029	23770
2912202	181977	220066	223258	271149	311070	15	17	17	16	19	17805	19071	19309	19548	19578
2912301	96607	113228	143597	165542	161612	30	39	40	39	38	15650	16582	16640	16696	16748
2912400	77533	81344	92513	101567	117999	31	42	42	42	42	17277	18398	18540	18674	18563
2912509	59044	69303	77363	88238	92141	67	67	67	67	67	14285	15162	15231	15296	15356
2912608	22529	24523	27050	26734	26367	19	20	20	19	19	4874	5158	5149	5158	4207
2912707	139581	151989	140270	175809	214006	74	78	78	78	78	22683	24059	24118	24180	24238
2912806	116614	138458	183602	185724	208808	12	25	25	25	25	8086	8603	8671	8735	8796
2912905	134178	147247	141825	166075	171186	56	57	57	57	57	17959	18546	18348	17947	17573
2913002	70145	75592	83120	91214	97800	52	63	63	63	63	15669	16647	16614	16699	16779
2913101	76422	84804	95063	108829	105589	40	51	51	49	49	17763	18752	18740	18727	17957
2913200	208924	217539	275243	291853	337311	71	72	73	73	73	25617	27285	27405	27655	27762
2913309	27108	30136	32880	38207	38498	14	20	20	20	21	5908	6265	6288	6311	6418
2913408	78095	90502	211224	189919	167008	32	32	32	32	32	15238	16159	16193	16225	16255
2913457	130705	145642	162868	178788	177433	65	71	72	70	72	13028	13636	14509	14395	14288
2913507	124975	145136	176506	198773	195843	91	91	91	91	91	26053	27615	27704	27787	27865
2913606	2891095	3219405	3512481	3641506	3874970	135	142	153	108	116	187315	184616	182350	180213	178210
2913705	324467	366081	355299	444593	443792	80	88	88	88	89	37321	39938	40441	40915	40908
2913804	59224	66240	73631	81026	79037	66	67	68	34	68	15025	15753	15634	15521	15596
2913903	314489	377971	415406	430004	429536	68	74	74	75	75	44538	47178	47388	47501	47606
2914000	409387	524787	590930	611581	693069	106	118	118	123	124	59001	62253	62172	62095	62697
2914109	44752	51061	57471	67414	74125	41	41	41	41	41	9398	9992	10054	10113	10107
2914208	35497	41698	46056	49866	57290	25	27	27	27	27	7046	7471	7443	7472	7497
2914307	51989	58937	68511	80874	78037	41	41	41	21	41	11150	11412	10809	10487	10184
2914406	151258	148252	194711	282787	331163	37	50	50	50	52	23246	24882	24712	25006	25279
2914505	149148	184790	203294	229254	240266	80	81	81	82	82	27814	29579	29770	29950	29723
2914604	727407	842768	899889	983841	1016283	71	79	82	82	82	67527	72041	72730	73380	73915
2914653	243206	278028	300689	310776	331073	44	45	47	43	48	28790	30636	30852	31055	31244
2914703	492805	579353	641089	721795	799653	121	134	137	138	138	62037	65806	66065	66310	66592
2914802	2990607	3450138	3665696	3832794	3859881	196	217	218	207	203	205885	218124	218925	219680	220386
2914901	176042	202724	222490	262128	263245	73	106	107	88	111	25254	26753	27198	27619	28013
2915007	65498	74262	79260	84480	87300	46	47	48	48	48	15063	15996	16370	16446	16519
